87,3,0,0,2,26.24,30.305,73,7.0015,2011,9,3,5,0
248,3,0,1,1,32.8,34.85,33,7.0015,2012,8,13,0,14
334,4,0,0,1,15.58,19.695,40,11.0014,2011,11,5,5,17
623,3,0,1,1,32.8,37.88,55,12.998,2012,8,9,3,19
70,2,0,1,1,13.94,17.425,76,7.0015,2011,4,14,3,6
165,1,0,1,1,9.02,10.605,37,16.9979,2012,1,18,2,20
476,4,0,1,2,23.78,27.275,68,22.0028,2012,10,15,0,7
202,1,0,1,1,10.66,15.15,22,0.0,2011,3,3,3,17
71,2,0,0,2,27.06,30.305,78,11.0014,2011,6,19,6,7
276,2,0,1,1,18.04,21.97,33,0.0,2012,4,5,3,12
244,3,0,1,1,36.9,40.91,35,19.9995,2012,7,5,3,11
206,2,0,1,1,18.04,21.97,30,30.0026,2012,4,10,1,21
393,4,0,0,1,25.42,31.06,50,8.9981,2011,10,8,5,17
8,2,0,1,1,23.78,27.275,88,7.0015,2011,6,6,0,2
632,2,0,1,1,22.14,25.76,32,27.9993,2012,4,9,0,17
66,3,0,0,2,28.7,33.335,84,15.0013,2011,8,7,6,2
8,1,0,0,1,11.48,15.15,81,6.0032,2012,1,1,6,4
324,3,0,0,1,36.9,42.425,42,19.9995,2011,8,7,6,13
219,1,0,1,1,18.86,22.725,63,36.9974,2012,1,17,1,16
99,1,0,1,1,2.46,5.305,49,7.0015,2011,2,9,2,7
597,4,0,0,1,19.68,23.485,33,12.998,2012,10,13,5,14
33,1,0,0,1,14.76,17.425,66,8.9981,2011,3,13,6,1
386,2,0,1,1,27.88,31.82,83,12.998,2012,6,12,1,20
290,3,0,0,1,31.98,34.85,46,19.9995,2011,7,9,5,11
31,4,0,1,1,14.76,18.18,76,6.0032,2011,11,3,3,0
506,2,0,1,1,24.6,30.305,60,19.0012,2012,6,14,3,7
257,3,0,1,1,34.44,36.365,32,12.998,2012,7,2,0,12
222,2,0,0,1,24.6,31.06,56,8.9981,2012,5,13,6,9
86,1,0,1,1,12.3,15.15,39,8.9981,2011,3,1,1,12
28,2,0,1,1,24.6,28.03,83,11.0014,2012,5,17,3,1
197,4,0,1,2,24.6,27.275,88,8.9981,2011,10,19,2,19
287,3,0,0,1,37.72,41.665,33,8.9981,2012,7,7,5,19
370,3,0,1,1,24.6,28.03,83,7.0015,2011,9,14,2,7
135,4,0,1,1,18.04,21.97,62,8.9981,2011,11,1,1,10
3,4,0,1,1,11.48,15.15,65,6.0032,2012,12,19,2,2
105,1,0,0,2,18.86,22.725,94,23.9994,2011,3,6,6,13
74,1,0,0,2,14.76,16.665,40,26.0027,2012,2,18,5,23
17,4,0,1,1,8.2,11.365,75,6.0032,2011,12,19,0,0
117,2,0,0,1,28.7,33.335,79,8.9981,2011,6,11,5,0
86,1,0,1,2,13.12,15.15,87,19.0012,2012,1,17,1,12
85,1,0,1,2,13.94,15.91,53,16.9979,2011,3,11,4,15
523,3,0,0,1,36.08,40.91,44,31.0009,2012,8,5,6,13
